,Unnamed: 0,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,right_ascension,declination
4055,4055,TRAPPIST-1 c,41,1.38 Earths,18.8,2016,Super Earth,1.056 x Earth,0.01521 AU,2.4 days,< 0.083,TRAPPIST-1,Transit,89.67,23h06m29.28s,-05d02m28.6s
4056,4056,TRAPPIST-1 d,41,0.41 Earths,18.8,2016,Terrestrial,0.772 x Earth,0.02144 AU,4 days,< 0.07,TRAPPIST-1,Transit,89.75,23h06m29.28s,-05d02m28.6s
4057,4057,TRAPPIST-1 e,41,0.62 Earths,18.8,2017,Terrestrial,0.918 x Earth,0.02817 AU,6.1 days,< 0.085,TRAPPIST-1,Transit,89.86,23h06m29.28s,-05d02m28.6s
4058,4058,TRAPPIST-1 f,41,0.68 Earths,18.8,2017,Super Earth,1.045 x Earth,0.0371 AU,9.2 days,< 0.063,TRAPPIST-1,Transit,89.68,23h06m29.28s,-05d02m28.6s
4059,4059,TRAPPIST-1 g,41,1.34 Earths,18.8,2017,Super Earth,1.127 x Earth,0.0451 AU,12.4 days,< 0.061,TRAPPIST-1,Transit,89.71,23h06m29.28s,-05d02m28.6s
4060,4060,TRAPPIST-1 h,41,0.331 Earths,18.8,2017,Terrestrial,0.752 x Earth,0.061935 AU,18.8 days,0.01,TRAPPIST-1,Transit,89.76,23h06m29.28s,-05d02m28.6s
4074,4074,Upsilon Andromedae b,44,0.6876 Jupiters,4.1,1996,Gas Giant,1.25 x Jupiter,0.059222 AU,4.6 days,0.02,ups And,Radial Velocity,,01h36m47.84s,+41d24m19.7s
4075,4075,Upsilon Andromedae c,44,1.981 Jupiters,4.1,1999,Gas Giant,1.19 x Jupiter,0.827774 AU,241.3 days,0.26,ups And,Radial Velocity,,01h36m47.84s,+41d24m19.7s
4076,4076,Upsilon Andromedae d,44,4.132 Jupiters,4.1,1999,Gas Giant,1.16 x Jupiter,2.51329 AU,3.5 years,0.3,ups And,Radial Velocity,,01h36m47.84s,+41d24m19.7s
4088,4088,VHS J125601.92-125723.9 b,41,11.2 Jupiters,17.759,2015,Gas Giant,1.11 x Jupiter,102.0 AU,3895.8 years,0,VHS J125601.92-125723.9,Imaging,,12h56m02.15s,-12d57m21.7s
4260,4260,WD 0806-661 b,63,7.5 Jupiters,13.683,2011,Gas Giant,1.13 x Jupiter,2500.0 AU,158840.9 years,0,WD 0806-661,Imaging,,08h06m53.74s,-66d18m16.7s
4261,4261,WD 1856+534 b,81,13.8 Jupiters,16.958,2020,Gas Giant,0.928 x Jupiter,0.0204 AU,1.4 days,0,WD 1856+534,Transit,88.778,18h57m39.34s,+53d30m33.3s
4264,4264,WISEP J121756.91+162640.2 A b,33,22 Jupiters,,2012,Gas Giant,0.934 x Jupiter,8.0 AU,130.7 years,0,WISEP J121756.91+162640.2 A,Imaging,,12h17m56.91s,+16d26m40.2s
4265,4265,Wolf 1061 b,14,1.91 Earths,10.03,2015,Super Earth,1.21 x Earth,0.0375 AU,4.9 days,0.15,Wolf 1061,Radial Velocity,,16h30m18.06s,-12d39m45.3s
4266,4266,Wolf 1061 c,14,3.41 Earths,10.03,2015,Super Earth,1.66 x Earth,0.089 AU,17.9 days,0.11,Wolf 1061,Radial Velocity,,16h30m18.06s,-12d39m45.3s
4267,4267,Wolf 1061 d,14,7.7 Earths,10.03,2015,Neptune-like,0.24 x Jupiter,0.47 AU,217.2 days,0.55,Wolf 1061,Radial Velocity,,16h30m18.06s,-12d39m45.3s
4281,4281,YZ Ceti b,12,0.75 Earths,12.074,2017,Terrestrial,0.93 x Earth,0.01557 AU,2 days,0,YZ Cet,Radial Velocity,,01h12m30.64s,-16d59m56.3s
4282,4282,YZ Ceti c,12,0.98 Earths,12.074,2017,Terrestrial,1.0 x Earth,0.0209 AU,3.1 days,0.04,YZ Cet,Radial Velocity,,01h12m30.64s,-16d59m56.3s
4283,4283,YZ Ceti d,12,1.14 Earths,12.074,2017,Super Earth,1.05 x Earth,0.02764 AU,4.7 days,0.13,YZ Cet,Radial Velocity,,01h12m30.64s,-16d59m56.3s
